key,pt_PT,en,ja,ko
button_menu_play,Novo Jogo,New Game,ニューゲーム,새로운 게임
button_menu_continue,Continuar,Continue,続きから,계속하십시오
button_menu_settings,Opções,Options,オプション,옵션
button_menu_credits,Créditos,Credits,クレジット,크레딧
button_menu_leave,Sair,Exit,出口,종료
button_menu_back,Voltar,Back,戻る,뒤로
button_menu_resume,Retomar,Resume,再開する,계속
title_menu,Menu,Menu,メニュー,메뉴
title_settings,Menu de Opções,Options Menu,オプション,옵션 메뉴
title_settings_screen_resolution,Resolução da Tela,Screen Resolution,画面解像度,화면 해상도
label_settings_window_mode,Modo da Janela,Window Mode,ウィンドウモード,창 모드
label_settings_resolution_mode,Resolução,Resolution Mode,解像度モード,화면 해상도
title_settings_volume,Volume,Volume,音量,볼륨
label_settings_master_volume,Geral,Master,マスター,전체
label_settings_music_volume,Música,Music,音楽,음악
label_settings_sound_effects,Efeitos Sonoros,Sound Effects,効果音,효과음
title_settings_language,Idioma,Language,言語,언어
label_settings_language,Idioma Selecionado,Selected Language,選択された言語,선택된 언어
title_credits,Créditos,Credits,クレジット,크레딧
title_credits_gamedev,Desenvolvimento do Jogo,Game Development,ゲーム開発,게임 개발
subtitle_credits_gamedev_main,Desenvolvedores Principais,Main Developers,"メイン開発者 ",주요 개발자
label_credits_gamedev_main,"Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak"
subtitle_credits_gamedev_mechanics,Designers de Mecânicas de Jogo,Game Mechanics Designers,"ゲームメカニクスデザイナー ",게임 메커닉 디자이너
label_credits_gamedev_mechanics,"Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak","Sérgio Gabriel, Artur Bazavlyak"
subtitle_credits_gamedev_dev,Programadores,Developers,"開発者 ",프로그래머
label_credits_gamedev_dev,"Artur Bazavlyak, Matheus Abreu, Sérgio Gabriel","Artur Bazavlyak, Matheus Abreu, Sérgio Gabriel","Artur Bazavlyak, Matheus Abreu, Sérgio Gabriel","Artur Bazavlyak, Matheus Abreu, Sérgio Gabriel"
title_credits_design,Design & Arte,Design & Art,デザインとアート,디자인 & 아트
subtitle_credits_design_art,Direção de Arte,Art Director,アートディレクター,아트 디렉션
label_credits_design_art,Sérgio Gabriel,Sérgio Gabriel,Sérgio Gabriel,Sérgio Gabriel
subtitle_credits_design_scenario,Design de Cenários,Scenario Designer,シナリオデザイナー,배경 디자인
label_credits_design_scenario,"Sérgio Gabriel, Matheus Abreu","Sérgio Gabriel, Matheus Abreu","Sérgio Gabriel, Matheus Abreu","Sérgio Gabriel, Matheus Abreu"
title_credits_music,Música & Som,Music & Sound,音楽とサウンド,음악 & 사운드
subtitle_credits_music_composer,Compositor,"Composer ","作曲家 ",작곡가
label_credits_music_composer,Sérgio Gabriel (Nihhiu),Sérgio Gabriel (Nihhiu),Sérgio Gabriel (ニヒウ),Sérgio Gabriel (니히우)
subtitle_credits_music_producer,Produtor,"Producer ","プロデューサー ",프로듀서
label_credits_music_producer,Sérgio Gabriel (Nihhiu),Sérgio Gabriel (Nihhiu),Sérgio Gabriel (ニヒウ),Sérgio Gabriel (니히우)
title_credits_narrative,Narrativa,Narrative,ナレーション,서사
subtitle_credits_narrative_screenwriter,Escritor,"Screenwriter ","脚本家 ",작가
